frame,droplet_id,area_px,centroid_y,centroid_x,eccentricity,equivalent_diameter_px,perimeter_px,solidity,major_axis_px,minor_axis_px
0,161,9.0,897.7777777777778,2895.8888888888887,0.9099590527639176,3.385137501286538,9.65685424949238,0.8181818181818182,5.568872927174075,2.309401076758504
0,162,2.0,900.5,1050.5,1.0,1.5957691216057308,0.0,1.0,2.8284271247461903,0.0
0,163,5.0,905.6,2743.4,0.9182452525973077,2.5231325220201604,4.621320343559642,0.8333333333333334,4.207566805815682,1.6662477530661568
0,164,2.0,914.5,1443.5,1.0,1.5957691216057308,0.0,1.0,2.8284271247461903,0.0
0,165,5.0,920.6,2747.2,0.8164965809277259,2.5231325220201604,5.207106781186548,1.0,3.0983866769659336,1.788854381999832
0,166,130.0,931.5538461538462,2979.5615384615385,0.7332969265962959,12.865501965161373,86.94112549695427,0.6220095693779905,20.16290669334997,13.708932373141161
0,167,1.0,925.0,1382.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,168,6.0,927.8333333333334,1382.1666666666667,0.7565019143903671,2.763953195770684,5.621320343559642,0.75,3.7841508342790218,2.4748023977420552
0,169,1.0,930.0,2568.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,170,1.0,944.0,304.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,171,1.0,959.0,1393.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,172,1.0,965.0,205.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,173,2.0,994.0,1519.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,174,1.0,1008.0,2067.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,175,117.0,1017.5384615384615,3054.675213675214,0.8254897804027339,12.205286835384658,61.31980515339464,0.7905405405405406,17.46400993753667,9.856985219504171
0,176,2.0,1015.0,2036.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,177,1.0,1022.0,1247.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,178,1370.0,1042.9408759124087,3260.6328467153285,0.9121463335912873,41.76527476609214,607.3279938488575,0.5269230769230769,87.46308917297617,35.848032144484925
0,179,1.0,1028.0,742.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,180,2.0,1037.5,2907.0,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,181,4.0,1041.0,3268.75,0.7905694150420949,2.256758334191025,4.621320343559642,1.0,2.8284271247461903,1.7320508075688772
0,182,1.0,1042.0,1638.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,183,263.0,1055.5665399239545,3060.574144486692,0.6028854743734621,18.29923496393627,162.01828996322962,0.5126705653021443,29.61242682298484,23.625615606623704
0,184,3.0,1053.0,681.0,1.0,1.9544100476116797,1.0,1.0,3.265986323710904,0.0
0,185,1.0,1065.0,2473.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,186,1.0,1069.0,523.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,187,5.0,1106.4,2765.2,0.5093759074726717,2.5231325220201604,3.2071067811865475,0.7142857142857143,3.321307499404394,2.8581316439940507
